USPS|GEOID|GEOIDFQ|ANSICODE|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
WA|53073|0500000US53073|01529224|Whatcom County|5459507961|1028087018|2107.928|396.947|48.842653|-121.836432
WA|53075|0500000US53075|01533501|Whitman County|5592463290|48246694|2159.262|18.628|46.905944|-117.53539
WA|53077|0500000US53077|01531929|Yakima County|11122734400|41188781|4294.512|15.903|46.456558|-120.740145
WV|54001|0500000US54001|01696996|Barbour County|883338356|4639586|341.059|1.791|39.13971|-79.996923
WV|54003|0500000US54003|01550008|Berkeley County|831725075|1057614|321.131|0.408|39.447938|-78.037753
WV|54005|0500000US54005|01550009|Boone County|1301131776|4307460|502.37|1.663|38.022814|-81.713538
WV|54007|0500000US54007|01550010|Braxton County|1322802061|14339287|510.737|5.536|38.69933|-80.73166
WV|54009|0500000US54009|01558262|Brooke County|230602300|8740199|89.036|3.375|40.262737|-80.589121
WV|54011|0500000US54011|01550012|Cabell County|727850606|18109394|281.025|6.992|38.419578|-82.243397
WV|54013|0500000US54013|01696945|Calhoun County|723286832|3670131|279.263|1.417|38.844159|-81.115478
WV|54015|0500000US54015|01550014|Clay County|885657493|4822201|341.954|1.862|38.459826|-81.081866
WV|54017|0500000US54017|01689476|Doddridge County|828078406|1950540|319.723|0.753|39.264307|-80.711498
WV|54019|0500000US54019|01560095|Fayette County|1714459762|17468301|661.957|6.745|38.030966|-81.086089
WV|54021|0500000US54021|01689673|Gilmer County|876717614|4082113|338.503|1.576|38.915867|-80.849413
WV|54023|0500000US54023|01697238|Grant County|1236389406|7544475|477.373|2.913|39.105988|-79.195064
WV|54025|0500000US54025|01557518|Greenbrier County|2641319242|12136552|1019.819|4.686|37.92441|-80.450589
WV|54027|0500000US54027|01718644|Hampshire County|1658634385|10902103|640.402|4.209|39.312139|-78.611989
WV|54029|0500000US54029|01560574|Hancock County|213958963|13877481|82.61|5.358|40.516958|-80.570164
WV|54031|0500000US54031|01718557|Hardy County|1508190142|5624068|582.315|2.171|39.011361|-78.841729
WV|54033|0500000US54033|01718426|Harrison County|1077461965|1313215|416.01|0.507|39.279148|-80.385821
WV|54035|0500000US54035|01559963|Jackson County|1202688178|18825849|464.361|7.269|38.834234|-81.677717
WV|54037|0500000US54037|01550025|Jefferson County|542054921|6150169|209.289|2.375|39.307398|-77.86322
WV|54039|0500000US54039|01550026|Kanawha County|2335490840|24050221|901.738|9.286|38.325037|-81.532775
WV|54041|0500000US54041|01550027|Lewis County|1002149955|7030172|386.932|2.714|38.988912|-80.495382
WV|54043|0500000US54043|01550028|Lincoln County|1132065723|4053586|437.093|1.565|38.171802|-82.077608
WV|54045|0500000US54045|01550029|Logan County|1173052363|4650787|452.918|1.796|37.830591|-81.940853
WV|54047|0500000US54047|01689162|McDowell County|1381651957|3728166|533.459|1.439|37.382872|-81.658326
WV|54049|0500000US54049|01718173|Marion County|799749333|7079302|308.785|2.733|39.505839|-80.243402
WV|54051|0500000US54051|01717539|Marshall County|790972989|17384487|305.396|6.712|39.854807|-80.671831
WV|54053|0500000US54053|01560254|Mason County|1115683482|36124378|430.768|13.948|38.770914|-82.029007
WV|54055|0500000US54055|01557645|Mercer County|1085238569|4309945|419.013|1.664|37.403448|-81.106456
WV|54057|0500000US54057|01717890|Mineral County|849209723|3466313|327.882|1.338|39.404781|-78.95669
WV|54059|0500000US54059|01550036|Mingo County|1095877996|2156358|423.121|0.833|37.721161|-82.158989
WV|54061|0500000US54061|01550037|Monongalia County|932638138|14986266|360.094|5.786|39.633645|-80.059074
